Name,X,Y,Angle,Value,Package
R2_USB,-1.73,10.16,0.00,5K1,CPF0201D7K68C1_0201
R3,-73.41,-224.93,0.00,0,CPF0201D7K68C1_0201
R4,-72.11,-224.42,0.00,0,CPF0201D7K68C1_0201
R5,8.80,-13.32,0.00,10K,CPF0201D7K68C1_0201
R7,-2.15,-13.53,0.00,10K,CPF0201D7K68C1_0201
R8,-13.15,-13.53,0.00,10K,CPF0201D7K68C1_0201
R9,30.50,-49.60,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EDP,-79.91,-227.48,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-78.61,-226.97,0.00,2.2,CPF0201D7K68C1_0201
SJ1,39.20,-50.40,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW1,-11.00,-14.28,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW2,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW3,0.00,-14.28,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-39.50,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-34.90,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BA_GND,-30.40,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-25.90,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-21.30,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-16.80,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,-12.20,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-7.70,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-3.20,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,1.40,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,5.90,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,10.50,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,15.00,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,19.50,-79.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,9.27,3.51,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-12.90,-84.50,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,-7.00,-84.50,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-1.00,-84.40,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
